Timestamp,Winner Name,Loser Name,Result,Punishment Pack,Punishment Pack contents,Notes,,Punishment Pack choice?
11/23/2022 21:24:32,Trevor F - treskies#75643,Nathan C - plasma_grunt#90631,2-1,,1,,,
11/23/2022 22:11:13,Nathan C - plasma_grunt#90631,Edgar A - PlayfulTerror#04926,2-0,,1,,,
11/23/2022 22:40:43,Trevor F - treskies#75643,Jonathan R - Jraps#79124,2-1,,1,,,
11/24/2022 0:34:21,Jonathan R - Jraps#79124,Jacob C - Breadlord#83962,2-0,,1,,,
11/24/2022 1:25:26,Jacob C - Breadlord#83962,Sean S - UnknownThursday#95034,2-1,,1,,,
11/24/2022 2:13:10,Jacob C - Breadlord#83962,Kyle C - AFKyle#29319,2-1,,1,,,
11/24/2022 16:06:58,Luca P - LukeCloud#68182,Tony G - YnotRock#76764,2-0,,1,,,
11/24/2022 18:50:50,Edgar A - PlayfulTerror#04926,Luca P - LukeCloud#68182,2-0,,1,gg's,,
11/24/2022 19:45:38,JP G - jaypiex#97612,Kyle C - AFKyle#29319,2-0,,1,,,
11/24/2022 22:36:28,Tony G - YnotRock#76764,Michael M - Atombomb11991#07305,2-0,,1,,,
11/25/2022 1:00:04,Bill D - Cato Phoenix#70805,Tony G - YnotRock#76764,2-1,,1,,,
11/25/2022 8:10:37,John R - Ged#72302,Ryland B - Sabre#12079,2-0,,1,,,
11/25/2022 10:57:14,Ryland B - Sabre#12079,Andrew H - hopnertz#98617,2-0,,1,,,
11/25/2022 11:41:14,Doug Co - daceris#24713,Ryland B - Sabre#12079,2-1,,1,,,
11/25/2022 12:40:12,Bill D - Cato Phoenix#70805,Steven Y -  Isos#92135,2-0,,1,,,
11/25/2022 12:58:39,Kevin C - Keviiiiin#67886,Peter C - Lens Blair#41153,2-0,,1,,,
11/25/2022 13:43:17,Ryan D - TheSlickness#10857,Steven Y -  Isos#92135,2-1,,1,,,
11/25/2022 13:56:26,Peter C - Lens Blair#41153,Doug Co - daceris#24713,2-0,,1,,,
11/25/2022 14:30:19,Gerardo L - Seductiveturtle#91515,Bill D - Cato Phoenix#70805,2-1,,1,:),,
11/25/2022 14:35:24,Steven Y -  Isos#92135,Russell S - rstad#89052,2-0,,1,,,
11/25/2022 14:41:04,Daniel J - Insequent#82225,Luca P - LukeCloud#68182,2-0,,1,,,
11/25/2022 14:51:02,Doug Co - daceris#24713,Randy F - Ezrem#08922,2-0,,1,,,
11/25/2022 15:13:14,Gerardo L - Seductiveturtle#91515,Daniel J - Insequent#82225,2-0,,1,:),,
11/25/2022 15:46:59,Gerardo L - Seductiveturtle#91515,Tony G - YnotRock#76764,2-1,,1,:),,
11/25/2022 15:54:12,Shane K - Malfunktion#31013,Stephan J - Saeijou#27763,2-0,,1,,,
11/25/2022 16:20:19,Gerardo L - Seductiveturtle#91515,Kevin C - Keviiiiin#67886,2-0,,1,:),,
11/25/2022 16:25:41,Olivier F - NephilimOli#21523,Mason G - bear6875#02260,2-1,,1,,,
11/25/2022 17:15:19,Jeremy E - Lhurgoyf#37289,Kevin C - Keviiiiin#67886,2-0,,1,,,
11/25/2022 17:26:27,Chris P - Joker01#66827,Paul G - TheDragon#61289,2-0,,1,,,
11/25/2022 17:31:14,Sawyer T - soyboy#35469,Ryan D - TheSlickness#10857,2-0,,1,,,
11/25/2022 17:52:38,Johnny M - Johnny#69519,Marley L - BeautyAndTheGitrog#98732,2-1,,1,,,
11/25/2022 18:21:31,Jeremy E - Lhurgoyf#37289,Sawyer T - soyboy#35469,2-1,,1,very ggs!,,
11/25/2022 18:21:44,Paul G - TheDragon#61289,Kevin C - Keviiiiin#67886,2-1,,1,,,
11/25/2022 18:50:51,Ryan D - TheSlickness#10857,Chris P - Joker01#66827,2-0,,1,,,
11/25/2022 19:46:30,Gerardo L - Seductiveturtle#91515,Carl C - TechnicolourArborist#38665,2-1,,1,:),,
11/25/2022 20:13:57,JP G - jaypiex#97612,Raghu B - Midnitfalcon#19670,2-0,,1,,,
