Timestamp,Winner Name,Loser Name,Result,Punishment Pack,Punishment Pack contents,Notes,,Winner Game Wins,Loser Game Wins,Week,Week Value,Week Start (PST)
2/22/2022 21:14:13,Craig H - Itsmecraig#89337,Nik S - njsiii#50504,2-0,,1,,,,,,,
2/22/2022 23:02:51,Craig H - Itsmecraig#89337,Nick M - Bernardhibou#01354,2-0,,1,,,,,,,
2/23/2022 1:38:00,Aus Z - ImperialPlaneswalker#40420,Edgar A - PlayfulTerror#04926,2-1,,1,,,,,,,
2/23/2022 1:46:47,Joel L - Instinctive#21903,Jacob C - Breadlord#83962,2-1,,1,ggs wp,,,,,,
2/23/2022 11:44:55,Trevor H - zheader#50741,Matt Z - frank_sausage#54739,2-0,,1,,,,,,,
2/23/2022 12:20:57,Tony G - YnotRock#76764,Trevor H - zheader#50741,2-0,,1,,,,,,,
2/23/2022 16:03:25,Mats K - MakroGames#12872,Tony G - YnotRock#76764,2-0,,1,,,,,,,
2/23/2022 16:35:44,Damien F - DamienF16#63049,Ryan W - MuttBunchies#61653,2-1,,1,,,,,,,
2/23/2022 17:16:37,Damien F - DamienF16#63049,Ben A - JankInTheTank#50714,2-0,,1,,,,,,,
2/23/2022 17:39:11,Tony G - YnotRock#76764,Frances L - Kawaiiru#25405,2-0,,1,,,,,,,
2/23/2022 17:52:42,Damien F - DamienF16#63049,Christian W - Senpaiman#86951,2-1,,1,,,,,,,
2/23/2022 18:27:01,Frances L - Kawaiiru#25405,Damien F - DamienF16#63049,2-0,,1,,,,,,,
2/23/2022 19:08:01,Joel L - Instinctive#21903,Damien F - DamienF16#63049,2-0,,1,ggs wp,,,,,,
2/23/2022 19:49:35,Frances L - Kawaiiru#25405,Joel L - Instinctive#21903,2-1,,1,,,,,,,
2/23/2022 20:40:35,Kyle C - AFKyle#29319,Michael M - Atombomb11991#07305,2-0,,1,,,,,,,
2/23/2022 20:47:18,Deven W - broccolmeur#51146,Andrew A - Mapo Dofu#77365,2-0,,1,,,,,,,
2/23/2022 21:00:39,Jeff U - LargeMidget#22940,Craig H - Itsmecraig#89337,2-1,,1,,,,,,,
2/23/2022 21:01:38,Shane K - Malfunction#68287,Frances L - Kawaiiru#25405,2-1,,1,,,,,,,
2/23/2022 21:50:11,Jeff U - LargeMidget#22940,Tony G - YnotRock#76764,2-0,,1,,,,,,,
2/23/2022 22:13:50,Tony G - YnotRock#76764,Craig H - Itsmecraig#89337,2-0,,1,,,,,,,
2/23/2022 23:15:25,Nick P - CrustyCheeseburger#09888,Jeff U - LargeMidget#22940,2-0,,1,,,,,,,
2/24/2022 0:57:28,Edgar A - PlayfulTerror#04926,Ahu S - Wily_bandar#26808,2-0,,1,Good GB deck,,,,,,
2/24/2022 10:26:15,Jeff U - LargeMidget#22940,Mats K - MakroGames#12872,2-1,,1,give him spinning wheel kick,,,,,,
2/24/2022 11:49:57,Jeff U - LargeMidget#22940,Sylvain T - Iquitos#15484,2-1,,1,,,,,,,
2/24/2022 14:12:54,Martin E - Meep#87492,Coleman N - avo#92320,2-0,,1,,,,,,,
2/24/2022 18:10:12,Jordan P - chunkieluver53#92811,Ade A - Blizz#50660,2-0,,1,,,,,,,
2/24/2022 19:30:17,Bill D - Cato Phoenix#70805,Kyle C - AFKyle#29319,2-1,,1,,,,,,,
2/24/2022 19:44:19,Michael M - Atombomb11991#07305,Edgar A - PlayfulTerror#04926,2-0,,1,,,,,,,
2/24/2022 19:48:27,Devin L - Dalopi#45146,Mitchel S - SpaghettiMitch#18619,2-1,,1,,,,,,,
2/24/2022 20:22:34,Frances L - Kawaiiru#25405,Michael GM - Draculated#87727,2-1,,1,,,,,,,
2/24/2022 21:08:25,Jacob C - Breadlord#83962,Nelson K - accpi#18634,2-0,,1,,,,,,,
2/24/2022 21:18:43,Brice C - AlBerTice#65077,Michael GM - Draculated#87727,2-0,,1,,,,,,,
2/24/2022 21:40:44,Jacob C - Breadlord#83962,Chase H - chase#1609,2-0,,1,,,,,,,
2/24/2022 21:40:44,Nick P - CrustyCheeseburger#09888,Brice C - AlBerTice#65077,2-0,,1,,,,,,,
2/24/2022 22:18:40,Brice C - AlBerTice#65077,Jacob C - Breadlord#83962,2-0,,1,,,,,,,
2/24/2022 22:35:43,Chase H - chase#1609,Deven W - broccolmeur#51146,2-0,,1,,,,,,,
2/24/2022 22:44:52,Michael GM - Draculated#87727,Ade A - Blizz#50660,2-0,,1,,,,,,,
2/24/2022 23:13:10,Daniel M - HPWizard#40332,Nik S - njsiii#50504,2-1,,1,,,,,,,
2/24/2022 23:16:03,Michael GM - Draculated#87727,Jacob C - Breadlord#83962,2-0,,1,,,,,,,
2/25/2022 0:02:51,Gregoire T - Emulink#08857,Stephen W - Biceps_Inc#28236,2-0,,1,,,,,,,
2/25/2022 1:09:15,Christopher G - oompaloompa#65002,Gregoire T - Emulink#08857,2-0,,1,,,,,,,
2/25/2022 1:49:10,Nicholas L - PlayOnBirds#63476,Gregoire T - Emulink#08857,2-0,,1,,,,,,,
2/25/2022 10:49:00,Ben A - JankInTheTank#50714,Nick M - Bernardhibou#01354,2-1,,1,,,,,,,
2/25/2022 11:25:29,Tim H - hanshotf1rst#51070,Trevor H - zheader#50741,2-0,,1,,,,,,,
2/25/2022 15:33:09,Nelson K - accpi#18634,Kyle C - AFKyle#29319,2-0,,1,,,,,,,
2/25/2022 15:41:37,Bill D - Cato Phoenix#70805,Deven W - broccolmeur#51146,2-0,,1,,,,,,,
2/25/2022 16:10:36,Bill D - Cato Phoenix#70805,Brice C - AlBerTice#65077,2-1,,1,,,,,,,
2/25/2022 18:11:50,Damian S - ButCrackMagic#71223,Chris Y - Yorke on Games#66909,2-0,,1,,,,,,,
2/25/2022 18:31:36,Justin P - Code Pigeon#84057,Emmett F - Sepulchure#51526,2-0,,1,,,,,,,
